Category,Subcategory,Difficulty,Question,Answer,Image
Food,General,Hard,Which celebrity chef was nicknamed 'The Naked Chef'?,Jamie Oliver,
Food,General,Hard,What daily vegetable do typical boxer's ears look like?,Cauliflower,
Food,General,Hard,What's a small pickled cucumber?,Gherkin,
Food,General,Hard,What's cockney rhyming slang for eyes?,Mince Pies,
Food,General,Hard,"What name's given to a small, deep fried chinese dumpling with a savoury filing?",Won ton,
Food,General,Hard,Which brand of beer features a kangaroo on the packaging?,Fosters,
Food,General,Hard,A mint with a hole?,Polo,
Food,General,Hard,"What is advertised on TV with the slogan ""You either Love it or Hate it""?",Marmite,
Food,General,Hard,In Ancient China what variety of meat was reserved exclusively for the emperor?,Pork,
Food,General,Hard,"Which song mentions saveloy, mustard, jelly, custard and sausages in the lyrics?",Food Glorious Food,
Food,General,Hard,Jasmine and long grain are both types of what?,Rice,
Food,General,Hard,What might you be eating at Wimbledon if you had a Cambridge Rival in your mouth?,Strawberry,
Food,General,Hard,What fruit was originally called a Chinese gooseberry?,Kiwi Fruit,
Food,General,Hard,What sort of pastry is used to make profiteroles?,Choux,
Food,General,Hard,What is the national dish of Hungary?,Goulash,
Food,General,Hard,Which nut is used to flavour traditional Bakewell Tart?,Almond,
Food,General,Hard,"In the dish of Beef Wellington, in what is the beef wrapped?",Pastry,
Food,General,Hard,What is the main vegetable used to make Borsch?,Beetroot,
Food,General,Hard,What is Bombay Duck?,Fish,
Food,General,Hard,Which fruit is used in the making of a Black Forest Gateau?,Black Cherries,
Food,General,Hard,What is included in a BLT sandwich?,"Bacon, lettuce and tomato",
Food,General,Hard,"The name of what food, when translated, means twice-cooked?",Biscuit,
Food,General,Hard,How many calories are there in a stick of celery?,0#6#20#99,
Food,General,Hard,Which country consumes the most pasta per person per year?,Italy,
Food,General,Hard,What was the favourite food of Paddington Bear?,Marmalade,
Food,General,Hard,Which family of vegatables are Chives from?,Onions,
Food,General,Hard,In the Hansel and Gretel tale what was the wicked witch's house made of?,Gingerbread,
Food,General,Hard,What take-away is traditional in England at the seaside?,Fish and chips,
Food,General,Hard,What meat is Coq au vin made with ?,Chicken,
Food,General,Hard,Which cheese is made in reverse?,Edam,
Food,General,Hard,What variety of banana shares its name with the title of a Bond movie?,Goldfinger,
Food,General,Hard,"Conference, Bartlett and Kaiser are all varieties of which fruit?",Pear,
Food,General,Hard,"Which product is advertised on TV with the slogan, ÙOnce you pop you can∆t stopˆ?",Pringles,
Food,General,Hard,What is the official national cheese of Greece?,Feta,
Food,General,Hard,Which variety of orange was named after a Japanese province?,Satsuma,
Food,General,Hard,Marzipan is made from which nuts?,Almonds,
Food,General,Hard,During brewing what is converted into alcohol?,Sugar,
Food,General,Hard,This chick pea pure⁄ is flavoured with tahini and served as a dip?,Hummus,
Food,General,Hard,Grolsch lager is from which country?,Holland,
Food,General,Hard,This carbohydrate fruit is high in potassium?,Banana,
Food,General,Hard,What overtook coca-cola as the most well known brand name (in the world) in 1996?,McDonalds,
Food,General,Hard,The 'M' in the McDonalds logo is what colour?,Yellow,
Food,General,Hard,Bacardi Rum's logo features which creature?,Bat,
Food,General,Hard,An egg plant is also known as which vegetable?,Aubergine,
Food,General,Hard,What is a light round bun usually served hot?,Muffin,
Food,General,Hard,What is the plant that wards off vampires?,Garlic,
Food,General,Hard,The Teenage Mutant Ninja Turtles favourite food is?,Pizza,
Food,General,Hard,The main vegetable ingredient in the dish Borsht is what?,Beetroot,
Food,General,Hard,Sauerkraut is pickled what?,Cabbage,
Food,General,Hard,Chicory was a war time substitute for what drink?,Coffee,
Food,General,Hard,What vegetable is also known as zucchini in the USA?,Courgette,
Food,General,Hard,This fruit goes into the liqueur Kirsch?,Cherry,
Food,General,Hard,A bloomer is What type of food?,Bread,
Food,General,Hard,This type of milk is a basic ingredient in Thai cookery?,Coconut milk,
Food,General,Hard,"What soft drink uses this slogan, ""What's the worst that could happen""",Dr Pepper,
Food,General,Hard,Which is the fruit that contains the most calories?,Avocado pear,
Food,General,Hard,What are dried prunes?,Plums,
Food,General,Hard,The main cereal ingredient of flapkacks (Hudson Bars in USA)?,Oats,
Food,General,Hard,What is the correct spelling of a Cadbury Creame/Creem/Creme/Cream Egg?,Creme,
Food,General,Hard,"What is Uganda's staple crop, which each adult consumes over 3 times bodyweight annually?",Bananas,
Food,General,Hard,What's lava bread?,Seaweed,
Food,General,Hard,What fruit grows on the blackthorn tree?,Sloe,
Food,General,Hard,Which two fruits are anagrams of each other?,Lemon & Melon,
Food,General,Hard,Homer Simpson drinks what brand of beer?,Duff,
Food,General,Hard,A crapulous person is full of what?,Alcohol,
Food,General,Hard,"What spanish drink consists of sweet red wine, lemonade or soda water and decorated with fruit?",Sangria,
Food,General,Hard,This spirit is the base for a Black Russian cocktail?,Vodka,
Food,General,Hard,What country is home to Grolsch lager?,Holland,
Food,General,Hard,A crapulous person is full of what?,Alcohol,
Food,General,Hard,What is the name of this hot red chilli pepper it is often dried and ground?,Cayenne Pepper,
Food,General,Hard,What's colour of the inside of a pistachio nut?,Green,
Food,General,Hard,This is converted into alcohol during brewing?,Sugar,
Food,General,Hard,This herb is used to make a Pesto sauce?,Basil,
Food,General,Hard,When a wine is described as 'brut' what does it mean about the taste?,Very Dry,
Food,General,Hard,The usual main meat ingredient of a Shish Kebab is?,Lamb,
Food,General,Hard,What do the brits call a Weenie?,hot dog,
Food,General,Hard,"The ""D"" where milk is processed?",Dairy,
Food,General,Hard,What spice gives piccalilli and curries its yellow colour?,Turmeric,
Food,General,Hard,Hash Browns are normally made from which vegetables?,Potatoes,
Food,General,Hard,Prunes stuffed with almonds are wrapped in what to make Devils on horseback?,Bacon,
Food,General,Hard,The main ingredient of a Paella is what?,Rice,
Food,General,Hard,The main ingredient of Sauerkraut is what?,Cabbage,
Food,General,Hard,This food has a name which means on a skewer?,Kebab,
Food,General,Hard,"Oyster, Chestnut, or Shitaki are types of which vegetable?",Mushrooms,
Food,General,Hard,What is the only fruit named for its colour?,Orange,
Food,General,Hard,Traditionally at a fair ground what fruit would be covered with toffee?,Apple,
Food,General,Hard,This herb is used to flavour Pernod?,Aniseed,
Food,General,Hard,This milk is a basic ingredient in Thai cookery?,Coconut milk,
History,General,Hard,In which year were the Twin Towers attacked?,2001#1999#2003#2007,
History,General,Hard,Who was the 16th president of the United States?,Abraham Lincoln,
History,General,Hard,"What famous document begins ""When in the course of human events...""?",The Declaration of Independence,
History,General,Hard,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,The U.S. Air Force,
History,General,Hard,"What game was created by French mathematician Blaise Pascal, which he discovered when doing experiments into perpetual motion?",Roulette,
History,General,Hard,"Who said ""I'm the president of the United States and I'm not going to eat any more broccoli""?",George Bush,
History,General,Hard,"What so-called ""war"" spawned the dueling slogans ""Better Dead Than RED"" and ""Better Red Than Dead"" in the 1950's?",The Cold War,
History,General,Hard,What president was shot while walking to California Governor Jerry Brown' office?,Gerald Ford,
History,General,Hard,"Who earned infamy for noting ""A billion dollars isn't worth what it used to be""?",J. Paul Getty,
History,General,Hard,What ethnic group was largely responsible for building most of the early railways in the U.S. West?,The Chinese,
History,General,Hard,What former speaker of the U.S. House has a chair in peace studies named for him at the University of Ulster?,"Thomas P. ""Tip"" O'Neill",
History,General,Hard,"What was a gladiator armed with, in addition to a dagger and spear?",Net,
History,General,Hard,What future Soviet dictator was training to be a priest when he got turned on to Marxism?,Joseph Stalin,
History,General,Hard,"What election year saw bumper stickers reading ""Wallace, Wallace, Uber Alles""?",1968#1948#1958#1978,
History,General,Hard,"What 20th-century conflict was dubbed the ""forgotten war"" despite 54,246 U.S. deaths?",Korean War,
History,General,Hard,What single name is more commonly applied to Holy Roman Emperor Charles the Great?,Charlemagne,
History,General,Hard,Who was the last president of the Soviet Union?,Mikail Gorbachev,
History,General,Hard,"What had Pliny the Younger seen erupt when he wrote ""We were terrified to see everything changed, buried in ashes like snowdrifts""?",Mount Vesuvius,
History,General,Hard,"Who saw the turtleneck he wore at cease-fire talks in Bosnia fetch $5,000 at auction?",Jimmy Carter,
History,General,Hard,What Alabama city saw state troopers attack Civil Rights marchers on Edmund Pettis Bridge?,Selma,
History,General,Hard,What Texan ended up with one delegate after spending $12 million of his own money running for president in 1980?,John Connally,
History,General,Hard,What congressional award was Dr. Mary Edwards Walker the first woman to receive?,Medal of Honor,
History,General,Hard,What modern vehicle was invented to circumvent trench warfare?,Tank,
History,General,Hard,What California city did the last Pony Express ride end in?,Sacramento,
History,General,Hard,Who was the first U.S. president to adopt the informal version of his first name?,Jimmy Carter,
History,General,Hard,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,Martin Luther King Jr,
History,General,Hard,What did Republicans call the platform they hyped in the 1994 Congressional elections?,The Contract With America,
History,General,Hard,What brave-hearted Scottish patriot led soldiers to a defeat of the English at the Battle of Cambuskenneth in 1297?,William Wallace,
History,General,Hard,What nation issued the five-dollar bill found in Abraham Lincoln's pocket when he was shot?,The Confederate States of America,
History,General,Hard,"What political system was gradually dismantled in South Africa, starting in 1989?",Apartheid,
History,General,Hard,What was 11th-century Spanish military leader Rodrigo Diaz de Vivar better know as?,El Cid,
History,General,Hard,Where did Hurricane Mitch strike in 1998?,Central America,
History,General,Hard,Which Open Tennis tournament was John McEnroe expelled from?,Australian,
History,General,Hard,Which airline owned the plane which crashed off Nova Scotia in 1998 killing over 200 including UN officials?,Swissair,
History,General,Hard,"Which disaster took lace in Kobe, Japan in 1995?",Earthquake,
History,General,Hard,Charles Rolls of Rolls Royce fame died in what type of vehicle?,Airplane,
History,General,Hard,"Which scandal hit sportsman was described by wife Monica in 1998 as ""kind of shy?""",Mike Tyson,
History,General,Hard,In which African countries were US embassies bombed in 1998?,Kenya & Tanzania,
History,General,Hard,Bandleader Glenn Miller was last seen in an aircraft leaving which country?,England,
History,General,Hard,In 1998 the Festina team was banned from what over drug allegations?,Tour de France,
History,General,Hard,"Where was the USA's worst nuclear accident, in 1979?",Three Mile Island,
History,General,Hard,"On which of the Canary Islands did a collision of two jumbo jets take place, making it one of the worst air disasters in history?",Tenerife,
History,General,Hard,Who was the first US President to resign while in office?,Richard Nixon,
History,General,Hard,In which country's waters was Greenpeace's Rainbow Warrior sunk in 1985?,New Zealand,
History,General,Hard,Which Olympic Games were the scene of a terrorist attack by Palestinian guerrillas?,Munich,
History,General,Hard,In which country did the Red Brigades operate in the late 70s?,Italy,
History,General,Hard,In which month did the attack on Pearl Harbor take place?,December,
History,General,Hard,Which German airship crashed in New Jersey in 1937?,Hindenburg,
History,General,Hard,In what decade did the Dust Bowl devastate Midwest farmers?,1930s#1920s#1940s#1950s,
History,General,Hard,In which country was the Titanic launched?,Ireland,
History,General,Hard,How did 1940s British murderer John Haigh dispose of his victims' bodies?,Acid bath,
History,General,Hard,Which illness caused twice as many fatalities in America and Europe in 1917-18 as there were in WWI?,Flu,
History,General,Hard,What was the nationality of the jet shot down in Russian air space in 1983?,Korean,
History,General,Hard,Which American married a former King of England?,Wallis Warfield Simpson,
History,General,Hard,Where in India did a major industrial accident occur in 1984?,Bhopal,
History,General,Hard,In what year was the Wall Street Crash?,1929,
History,General,Hard,What was the number of the British Armored Division known as The Desert Rats?,7th#4th#6th#12th,
History,General,Hard,Which US general along with Schwarzkopf was leader in the Gulf War?,Powell,
History,General,Hard,How many days did the Arab-Israeli War of 1967 last?,6#12#36#76,
History,General,Hard,"Who, during the Vietnam War, was known as Hanoi Jane?",Jane Fonda,
History,General,Hard,Which breakaway Russian republic had Grozny as its capital?,Chechnya,
History,General,Hard,Where did Nazi leader Rudolf Hess crash land in 1941?,Scotland,
History,General,Hard,"Which country's ""Spring"" was halted by the arrival of Soviet tanks in 1968?",Czechoslovakia,
History,General,Hard,Where was the Bay of Pigs whose invasion sparked a world crisis in the 60s?,Cuba,
History,General,Hard,Where did the Enola Gay drop a devastating bomb in WWII?,Hiroshima,
History,General,Hard,"In which county is Passschendaele, scene of battle in WWI?",Belgium,
History,General,Hard,The Taliban were a guerrilla group in which country?,Afghanistan,
History,General,Hard,Whose forces were defeated at the Battle of Midway in 1942?,Japan,
History,General,Hard,Who were defeated along with the Germans at El Alamein?,Italians,
History,General,Hard,During World War I what kind of gas was used in the trenches?,Mustard gas,
History,General,Hard,What Operation was the codename for the D Day landings?,Overlord,
History,General,Hard,Which major weapon of war was used for the first time in 1916?,Tank,
History,General,Hard,The Tamil Tigers were fighting for a separate state on which island?,Sri Lanka,
History,General,Hard,Muhammad Ali refused to fight in which war?,Vietnam,
History,General,Hard,War broke out in Biafra in the 60s when it broke away from which country?,Nigeria,
History,General,Hard,"Which ""Lord"" was executed for treason in 1946 for broadcasting Nazi propaganda?",Lord Haw-Haw,
History,General,Hard,During which war was OXFAM set up?,WWII#WW1#Crimean War#Korean War,
History,General,Hard,Which country pulled out of Vietnam in the 1950s?,France,
History,General,Hard,In WWII who was in charge of the Afrika Korps?,Rommel,
History,General,Hard,The EOKA were a terrorist group operating on which island?,Cyprus,
History,General,Hard,Which city was besieged by German troops for over 900 days in WWII?,Leningrad,
History,General,Hard,Which disaster occured the night of the 14-15 April 1912?,Titanic Sunk,
History,General,Hard,This man was the first human to set foot on the moon?,Neil Armstrong,
History,General,Hard,Man first stepped foot on the moon in which year?,1969,
Misc,General,Hard,Heroes - Which fictional hero is Clark kent?,Superman,
Misc,General,Hard,Heroes - Which fictional hero is Paul Metcalfe?,Captain Scarlet,
Misc,General,Hard,Heroes - Which fictional hero is Dick Grayson?,Robin,
Misc,General,Hard,Heroes - Which fictional hero is Mark Harris?,The Man From Atlantis,
Misc,General,Hard,Heroes - Which fictional hero is John Reid?,Lone Ranger,
Misc,General,Hard,Heroes - Which fictional hero is Billy Batson?,Captain Marvel,
Misc,General,Hard,Heroes - Which fictional hero is Doctor Banner?,Incredible Hulk,
Misc,General,Hard,Heroes - Which fictional hero is Henry Penfold?,Hong Kong Phooey,
Misc,General,Hard,Heroes - Which fictional hero is Peter Parker?,Spiderman,
Misc,General,Hard,Heroes - Which fictional hero is Don Blake?,The Mighty Thor,
Misc,General,Hard,"Phrases - ""A bird in the hand is worth two in the ___""?",bush,
Misc,General,Hard,"Phrases - ""A picture is worth a thousand ___""?",words,
Misc,General,Hard,"Phrases - ""An Englishman's home is his ___""?",castle,
Misc,General,Hard,"Phrases - ""An eye for an eye, a tooth for a ___""?",tooth,
Misc,General,Hard,"Phrases - ""Away with the ___""?",fairies,
Misc,General,Hard,"Phrases - ""Wouldn't touch with a ___""?",barge-pole,
Misc,General,Hard,"Phrases - ""The best laid schemes of mice and ___""?",men,
Misc,General,Hard,"Phrases - ""Bread always falls buttered side ___""?",down,
Misc,General,Hard,"Phrases - ""___ your eyes and think of England""?",Close,
Misc,General,Hard,"Phrases - ""The Course of true love ___ did run smooth""?",never,
Misc,General,Hard,What sense is most closely linked to memory?,smell,
Misc,General,Hard,What does Simon Wiesenthal hunt?,fugitive Nazis,
Misc,General,Hard,What animal was paraded through the streets of Paris on Mardi Gras to remind people not to eat meat during Lent?,Ox#Lamb#Bull#Goat,
Misc,General,Hard,What animals did the Ricardos and Mertzes attempt to raise for profit upon moving to Connecticut?,Chickens,
Misc,General,Hard,What player squats an average of 300 times during a doubleheader?,catcher,
Misc,General,Hard,What woman was arrested for voting in the 1872 election for U.S. president?,Susan B. Anthony,
Misc,General,Hard,"What U.S. city∆s drivers log 142 million miles daily, as far as from Earth to Mars?",Los Angeles,
Misc,General,Hard,What was the largest city in the U.S. when the first census was taken in 1790?,Philadelphia,
Misc,General,Hard,What city's drivers owe over $460 million in parking fines?,New York City,
Misc,General,Hard,How many rings are there on a five-zone archery target?,4#5#6#7,
Misc,General,Hard,What snack food did a University of South Florida engineering professor spend six years studying the crunch of?,Potato Chips,
Misc,General,Hard,What∆s the top selling campus snack according to the American Association of College Stores?,Oreo Cookies,
Misc,General,Hard,What U.S. state boasts the most car owners?,California,
Misc,General,Hard,What western state led the U.S. in percent increase in population from 1980 to 1989?,Nevada,
Misc,General,Hard,What sport did the Philadelphia Atoms and the Dallas Tornado play in the 1970's?,Soccer,
Misc,General,Hard,"What sport did two teams of Union Army soldiers play before a crowd of 40,000 at Hilton Head, South Carolina in 1862?",Baseball,
Misc,General,Hard,"What became America∆s first organized sport, in 1664?",Horse racing,
Misc,General,Hard,"What sport causes 18,000 facial injuries each year in U.S. kids aged 5 to 14?",Baseball,
Misc,General,Hard,"What team sport's rules were first printed in 1892 in the newspaper of a Springfield, Massachusetts YMCA training school?",Basketball,
Misc,General,Hard,What sport the most folks on Sports Magazine's list of the nine highest-paid athletes of 1990?,Boxing,
Misc,General,Hard,What day of the week did the Romans call dies solis?,Sunday,
Misc,General,Hard,What weekday do more colds begin on than any other?,Monday,
Misc,General,Hard,What∆s the fastest swimming marine mammal?,the killer whale,
Misc,General,Hard,What mammals travel with yellowfin tuna?,Dolphins,
Misc,General,Hard,What team won the first national college football championship?,Yale,
Misc,General,Hard,What U.S. city was once know as Federal City?,"Washington, D.C.",
Misc,General,Hard,What U.S. city did Indiana Jones take off from on his adventures in Raiders of the Lost Ark?,San Francisco,
Misc,General,Hard,How many Rocky movies were made by 1990?,5#1#2#3,
Misc,General,Hard,How many furlongs to a mile?,8#2#6#12,
Misc,General,Hard,"Who told the American public in 1974 ""Our long national nightmare is over""?",Gerald Ford,
Misc,General,Hard,Who was the only U.S. president to have earned a Ph.D.?,Woodrow Wilson,
Misc,General,Hard,What president had solar panels installed on the white house roof?,Jimmy Carter,
Misc,General,Hard,What do you fear will stick to the roof of your mouth if you have arachibutyrophobia?,Peanut Butter,
Misc,General,Hard,What did cleaning crews remove 600 pounds of from the Statue of Liberty in 1990?,Chewing Gum,
Misc,General,Hard,Which of the 48 contiguous U.S. states has the fewest people?,Wyoming,
Misc,General,Hard,What U.S. state boasts the famous Calumet race on horse farms?,Kentucky,
Misc,General,Hard,"What U.S. state gourmet's devour 3.6 cans of Spam per second, double the rate of the rest of the U.S.?",Hawaii,
Misc,General,Hard,What was Rhoda's maiden name?,Morgenstern,
Misc,General,Hard,What army publishes the newspaper The War Cry?,Salvation Army,
Misc,General,Hard,"What French port did 200,000 British troops flee on June 4, 1940?",Dunkirk,
Misc,General,Hard,What are the three colors on the German flag?,"black,red,gold#yellow,blue, white#red, black,blue#white,red,yellow",
Misc,General,Hard,What woman holds the record for most Wimbledon tennis championships?,Billie Jean King,
Misc,General,Hard,What future sitcom megastar began wearing her hair red in 1942?,Lucille Ball,
Misc,General,Hard,"What track star was the first woman to receive the Jesse Owens Award, in 1982?",Mary Decker Slaney,
Misc,General,Hard,What was the nickname of frontierswoman Martha Jane Burk?,Calamity Jane,
Misc,General,Hard,How many days after John F Kennedy's assassination was Lee Harvey Oswald shot?,2#1#3#8,
Misc,General,Easy,How many colors are there in a rainbow?,7#5#6#8,
Misc,General,Hard,"How long does it take the moon to revolve around the Earth, to the nearest day?",27#14#365#30,
Misc,General,Hard,How many original seasons of Gilligan's Island were TV viewers subjected to?,3#2#6#9,
Misc,General,Hard,How many minor league homeruns did Babe Ruth hit?,1#0#4#12,
Misc,General,Hard,"How many nose jobs has Michael Jackson had, as of 1991, according to the book Michael Jackson The Magic and the Madness?",6#0#2#4,
Misc,General,Hard,What former U.S. president's son began hosting his own nightly talk show in 1991?,Ronald Reagan,
Misc,General,Hard,Who was the first U.S. President to hold a televised news conference?,Dwight Eisenhower,
Misc,General,Hard,"What U.S. president's middle initial ""S"" did not stand for a name?",Harry S Truman,
Misc,General,Hard,What ex-president missed the slab of pork while showing off his ax-wielding skills to a group of Moscow butchers?,Richard Nixon,
Misc,General,Hard,What sport do Fuzzy Zoeller and Kermit Zarley play?,Golf,
Misc,General,Hard,What lawn sport∆s popularity put an abrupt end to the croquet craze if the late 1800∆s?,Tennis,
Misc,General,Hard,"What sport did Mr. Moto, Lou Thesz, and Big Daddy Lipscomb star in?",Professional Wrestling,
Misc,General,Hard,What Hollywood actress was The Oomph Girl?,Ann Sheridan,
Misc,General,Hard,"What Canadian jockey, later crippled, rode Secretariat to the Triple Crown in 1973?",Ron Turcotte,
Misc,General,Hard,Who played Sportin' Life in the film Porgy and Bess?,Sammy Davis Jr,
Misc,General,Hard,"What dickens character said ""Please, sir, I want some more""?",Oliver Twist,
Misc,General,Hard,Who was ordered to apologize for slapping Private Paul G. Bennett in the fact?,"General George S Patton, Jr.",
Misc,General,Hard,What's the most commonly-spoken language in Belgium?,French,
Misc,General,Hard,Why is the funny bone so called?,humerus,
Misc,General,Hard,What two countries do Tyroleans come from?,Austria and Italy,
Misc,General,Hard,"What are Alvin, Simon, and Theodore?",chipmunks,
Misc,General,Hard,What country's flag is made up of the Union Jack and the Southern Cross?,Australia,
Misc,General,Hard,What is Oprah Winfrey's real name?,Oprah Winfrey,
Misc,General,Hard,"What star sign is ""Gladys Knight""?",Gemini,
Misc,General,Hard,"Discovered in the 30s, Jonker and President Vargas were types of what?",Diamond,
Misc,General,Hard,Where were murdering sisters Delfina & Maria de Jesus Gonzales from?,Mexico,
Misc,General,Hard,Who has been Pope the longest in the 20th century?,John Paul II,
Misc,General,Hard,How was film director Emil Anton Bundmann better known?,Anthony Mann,
Misc,General,Hard,Who directed the classic movie High Noon?,Fred Zinnemann,
Misc,General,Hard,Which Pope died in 1978 after a mere 33 days in office?,John Paul I,
Misc,General,Hard,The Sicilian Specialist by Norman Lewis is a thinly disguised fictional account of which assassination plot?,J. F. Kennedy,
Misc,General,Hard,In which state is Temple University?,Pennsylvania,
Misc,General,Hard,"Which astronaut said, ""Four days vacation and see the world?""",Jim Lovell,
Misc,General,Hard,"In square miles, how big is Lake Ontario?",7550#3200#4400#5550,
Misc,General,Hard,How old would Otis Redding have been had he lived to the end of the 20th century?,58#44#60#72,
Misc,General,Hard,Stephens College is in which state?,Missouri,
Misc,General,Hard,John F. Kennedy was one of how many children?,9#4#12#3,
Misc,General,Hard,What is Fidel Castro's real first name?,Ruz,
Misc,General,Hard,Where is the world's largest soccer stadium?,Rio De Janeiro,
Misc,General,Hard,Who wrote that the female of the species is more deadly that the male?,Rudyard Kipling,
Misc,General,Hard,Who was Herbert Hoover's Vice President?,Charles Curtis,
Misc,General,Hard,"Which veteran rock musician said, ""If I had my time again I would like to take up archaeology?""",Bill Wyman,
Misc,General,Hard,What was Van Halen's first album after Dave Lee Roth left?,5150,
Misc,General,Hard,Which was the last US battalion to leave Vietnam?,3rd#2nd#12th#8th,
Misc,General,Hard,What was the only hit single by Jaggerz?,The Rapper,
Misc,General,Hard,What were ladies asked not to wear at Prince Edward's UK wedding?,Hats,
Misc,General,Hard,Who was Prime Minister of Afghanistan from 1993 to 1994?,Gulbuddin Hematyar,
Misc,General,Hard,Which year marked the bi-centenary of Kentucky joining the Union?,1992#1976#1996#2006,
Misc,General,Hard,In what year did the US death toll in Vietnam first exceed that in Korea?,1969#1971#1967#1974,
Misc,General,Hard,Which convenience food did Joel Cheek develop?,Instant coffee,
Misc,General,Hard,"Which controversial book contained the line, ""You can't ravish a tin of sardines?""",Lady Chatterley's Lover,
Misc,General,Hard,Which book did Mark Chapman read while waiting to be arrested after the murder of John Lennon?,The Catcher in the Rye,
Misc,General,Hard,What did the M stand for in J M Barrie's name?,Matthew,
Misc,General,Hard,By what name is Emmanuel Rudnitsky more widely known?,Man Ray,
Misc,General,Hard,What is Meg Ryan's real name?,Margaret Hyra,
Misc,General,Hard,Which Italian actress was voted the Most Beautiful Italian Girl in Tunis 1957?,Claudia Cardinale,
Misc,General,Hard,Who was the Chicago police commissioner at the time of the St Valentine's Day massacre?,William F Russell,
Misc,General,Hard,What star sign is shared by John Major and Sir David Frost?,Aries,
Misc,General,Hard,Why was Finn Volmari Iso-Hollo's 1932 steeplechase win exceptional?,He ran an extra lap by mistake,
Misc,General,Hard,"What was the profession of ""Arnold Newman?",Photographer,
Misc,General,Hard,Which middle name did UK Prime Minister Winston Churchill share with Charlie Chaplin?,Spencer,
Misc,General,Hard,What was officially called the Motion Picture Producers and Distributors of America?,Hays Office,
Misc,General,Hard,Which capital city has the fewest cinemas in relation to its population?,Cairo,
Misc,General,Hard,In which 20th-century decade was Barbie's boyfriend Ken first made?,60s#50s#40s#70s,
Misc,General,Hard,In which decade was Madonna born?,50s#40s#60s#70s,
Misc,General,Hard,Which initials did rapper Hammer lose?,M.C.,
Misc,General,Hard,Who plays against the USA in golf's Walker Cup?,Great Britain,
Misc,General,Hard,Who had a huge 70s No 1 with Shadow Dancing?,Andy Gibb,
Misc,General,Hard,In Canada what is the NHL?,National Hockey League,
Misc,General,Hard,Marlon Brando was born in which decade of the century?,20s#30s#40s#50s,
Misc,General,Hard,Who did Elton John originally duet with on Don't Go Breaking My Heart?,Kiki Dee,
Misc,General,Hard,Martina Navratilova has been on the winning side in the Federation Cup for which two countries?,Czechoslovakia & USA,
Misc,General,Hard,The cause of what color fever was discovered in 1900?,Yellow,
Misc,General,Hard,Which actor is the dad of Jamie Lee Curtis?,Tony Curtis,
Misc,General,Hard,"In football, where do the Chargers come from?",San Diego,
Misc,General,Hard,What does the F stand for in FBI?,Federal,
Misc,General,Hard,Tony Curtis was in which of the armed services in WWII?,Navy,
Misc,General,Hard,Which state is called the volunteer State?,Tennessee,
Misc,General,Hard,How did Greta Gustafson become better known as an actress?,Greta Garbo,
Misc,General,Hard,Albertville and Lillehammer were two 90s venues for which event?,Winter Olympics,
Misc,General,Hard,The US declared war on which country after the bombing of Pearl Harbor?,Japan,
Misc,General,Hard,Where do the Super Bowl winning Cowboys come form?,Dallas,
Misc,General,Hard,Kirk Douglas was in which of the armed services in WWII?,Navy,
Misc,General,Hard,What sport is the winner of the Harry Vardon trophy playing?,Golf,
Misc,General,Hard,Which shoe company did Michael Jordan famously promote?,Nike,
Misc,General,Hard,Which musical instrument did Pablo Casals play?,Cello,
Misc,General,Hard,"In horse racing, which triple Crown race is held on Long Island?",Belmont,
Misc,General,Hard,In which country was the AIDS virus first recognized?,USA,
Misc,General,Hard,Scott Hamilton won Olympic gold for the USA on what surface?,Ice,
Misc,General,Hard,How was Billie Jean Moffitt later known in the tennis world?,Billie Jean King,
Misc,General,Hard,Who won the Wimbledon singles in 1998 after twice losing in the final?,Jana Novotna,
Misc,General,Hard,In which decade did people last get the chance to see Halley's Comet?,1980s#1960s#1970s#1990s,
Misc,General,Hard,Where does Greg Norman come from?,Australia,
Misc,General,Hard,In which Park was the New York marathon run until 14970?,Central Park,
Misc,General,Hard,The Walker Cup is competed for in which sport?,Golf,
Misc,General,Hard,"In the charity AHA, what part of the body does H stand for?",Heart,
Misc,General,Hard,Brown-Eyed Handsome Man was a hit for which singer after his death?,Buddy Holly,
Misc,General,Hard,In which state did both Kennedy and Johnson die?,Texas,
Misc,General,Hard,The Fresh Prince of where was the subject of a sitcom of 140+ shows?,Bel Air,
Misc,General,Hard,"Who is younger, Serena or Venus Williams?",Serena,
Misc,General,Hard,Which state is called the Golden state?,California,
Misc,General,Hard,What color is the M in McDonald's?,Yellow,
Misc,General,Hard,What was President Yeltsin's first name?,Boris,
Misc,General,Hard,"In fiction, what is the last name of Dr. Hannibal--the Cannibal?",Lecter,
Misc,General,Hard,In which month does the Kentucky Derby take place?,May,
Misc,General,Hard,Rugby's man mountain Jonah Lomu plays for which country?,New Zealand,
Misc,General,Hard,Magician David Kotkin managed to change his name to what?,David Copperfield,
Misc,General,Hard,San Antonio international airport is in which state?,Texas,
Misc,General,Hard,What is the Aloha State?,Hawaii,
Misc,General,Hard,The main cause of the condition known as Rickets is the lack of what?,Vitamin D,
Misc,General,Hard,If you mix yellow and blue what colour do you get?,Green,
Misc,General,Hard,An oak tree grows what kind of nut?,An acorn,
Misc,General,Hard,What is the centre of a hurricane called?,Eye,
Misc,General,Hard,What are big chunks of ice that have broken off glaciers and drifted into the sea?,Icebergs,
